building_id,neural1,neural2,neural3
1024699,0.006984714,0.8131412,0.17987409
263346,0.0014475159,0.5478452,0.4507073
901921,0.0012603829,0.39812365,0.6006159
779872,0.024563083,0.7027476,0.27268937
109652,0.0056106756,0.79693985,0.19744949
1006593,0.0021211465,0.56721044,0.43066844
680296,0.004809089,0.7926844,0.20250653
364976,0.0069496883,0.41686654,0.57618374
501319,0.04924446,0.6820138,0.2687418
465650,0.007694764,0.23301163,0.7592936
1007273,0.6731681,0.31773967,0.009092247
672317,0.04149121,0.6742878,0.284221
464048,0.08109563,0.7755047,0.14339961
1012668,0.002248048,0.11967794,0.878074
224513,0.709658,0.28803888,0.0023030655
627754,0.10865354,0.69741255,0.19393393
198998,0.00431784,0.3562183,0.63946384
937203,0.016890014,0.87401617,0.109093875
457820,0.016980883,0.8437168,0.13930236
690584,0.024247024,0.783523,0.19222999
556517,0.009775342,0.57832545,0.41189924
432618,0.109516695,0.73772913,0.15275417
411742,0.0013540427,0.43784684,0.5607991
791249,0.00021412407,0.03443936,0.96534646
673264,0.0066676866,0.6966886,0.2966437
188133,0.044007014,0.78522503,0.17076784
983559,0.002889754,0.3543361,0.6427741
707326,0.0024005228,0.65878004,0.33881944
385175,0.02082919,0.77903014,0.20014067
92655,0.10546784,0.82781535,0.06671678
292318,0.9512609,0.048733603,5.4331854e-06
332426,0.050202455,0.8225467,0.1272508
88453,0.001190161,0.08177966,0.9170302
871104,0.020154338,0.7975233,0.18232231
643676,0.063099,0.8297786,0.10712243
104900,0.004635736,0.7839504,0.21141393
75186,0.52097416,0.3217673,0.15725859
612582,0.036216408,0.37160793,0.59217566
500757,0.0005341997,0.050740067,0.9487257
758251,0.49395928,0.4612711,0.04476958
473441,0.032989156,0.48431557,0.48269528
526197,0.0033273571,0.1689865,0.82768613
900755,0.0150159765,0.7903305,0.19465354
778752,0.04729983,0.8237201,0.12898016
640360,0.007999011,0.8244393,0.16756175
1000018,0.0004086857,0.055690255,0.94390106
458074,0.00070645084,0.41058868,0.5887048
243166,0.0007048724,0.056872237,0.9424229
590563,0.4923074,0.4560637,0.051628932
902441,0.011553993,0.8046949,0.18375102
669027,0.012673686,0.8286822,0.15864411
694108,0.00396947,0.48445752,0.51157296
744189,0.0035110356,0.6046258,0.39186317
32275,0.0039103697,0.78053266,0.21555689
505040,0.01272499,0.49308032,0.49419475
739367,0.6349486,0.32889503,0.036156386
1048921,0.3977163,0.4785037,0.123779915
651568,0.06110655,0.8579946,0.08089885
160356,0.014359056,0.80042,0.18522088
6976,0.019844351,0.9275868,0.05256887
893623,0.00048801853,0.052058,0.947454
398261,0.10567982,0.58112025,0.31319994
979507,0.12206409,0.6844826,0.19345334
606664,0.015610741,0.24198565,0.7424036
129502,0.043567285,0.3804985,0.57593423
335280,0.0001884964,0.031562537,0.96824896
124076,0.23950358,0.61023843,0.15025802
136903,0.05364543,0.84518343,0.10117117
433512,0.005556235,0.7988802,0.19556357
716455,0.0019597327,0.30538103,0.69265926
154960,0.011666563,0.9036944,0.084639035
46651,0.006185257,0.79283005,0.20098472
388768,0.00012132793,0.024580413,0.9752983
916254,0.938706,0.06127979,1.4182777e-05
1038246,0.004892645,0.8213969,0.17371039
480713,0.00072522264,0.36676475,0.63251007
448821,0.03819857,0.6769319,0.28486943
659491,0.0009280169,0.073970556,0.92510146
597067,0.00094125175,0.065799035,0.9332597
358900,0.002532765,0.6333988,0.36406845
618391,0.022651456,0.80314046,0.17420802
358359,0.3852497,0.5853544,0.02939592
521144,0.005264544,0.78367794,0.21105756
570979,0.004225795,0.51168495,0.48408923
159738,0.06014573,0.86371017,0.07614411
687453,0.0045972746,0.8205703,0.17483254
356445,0.014754509,0.40773955,0.57750595
648292,0.39280775,0.56411356,0.043078676
328106,0.030980587,0.6999076,0.2691118
324918,2.5118457e-05,0.011540543,0.9884343
776897,0.01607175,0.9177175,0.066210665
121418,0.027196918,0.8449523,0.12785085
458904,0.0042064833,0.792436,0.20335755
558926,0.78122383,0.21697064,0.0018055682
215537,0.514274,0.44516653,0.04055947
843693,0.019829867,0.86326,0.11691015
546735,0.122474395,0.72943276,0.14809284
978955,0.02507895,0.866043,0.10887815
297572,0.051493566,0.6780991,0.27040735
646578,0.9213941,0.07853159,7.422414e-05
582682,0.03268499,0.69529796,0.27201703
871899,0.018316224,0.87365824,0.10802547
957396,0.79526734,0.1506304,0.05410221
151134,0.0032998568,0.78950053,0.20719962
335006,0.755636,0.23831202,0.0060520037
962407,0.036385193,0.746562,0.21705273
255137,0.035635233,0.76460886,0.19975588
168727,0.0038624243,0.13625729,0.8598802
741897,0.018072138,0.88050175,0.1014261
813409,0.00011698977,0.027574414,0.9723086
992640,0.0006557859,0.34249485,0.6568494
316974,0.87053245,0.12938324,8.436507e-05
1006259,0.0028638572,0.71214813,0.28498802
700291,0.0025420415,0.12678583,0.8706721
418426,0.044821057,0.90575916,0.04941977
721938,0.02934045,0.41391912,0.5567404
295774,0.0064976625,0.75594056,0.23756176
387762,0.001858001,0.29673702,0.701405
701439,0.0046504047,0.7968521,0.19849746
473066,0.052063268,0.48693943,0.4609973
665590,0.026120173,0.8223574,0.15152241
402611,0.013887634,0.9132935,0.0728189
102362,0.0026922347,0.6939026,0.30340508
904229,0.0045140055,0.7684271,0.22705892
628145,0.012944219,0.90855044,0.07850538
226164,0.8014788,0.19813123,0.00038998216
946387,0.0034225374,0.48901114,0.50756633
162891,0.004824962,0.8033514,0.19182363
641721,0.0016428187,0.3972249,0.6011322
372928,0.07661085,0.7928558,0.13053328
651694,0.01639583,0.79432034,0.18928386
167149,0.54414886,0.43925035,0.01660082
695740,0.013371228,0.46405017,0.5225786
415571,0.47921994,0.33038765,0.1903924
1016370,0.00012595148,0.026353998,0.97352004
506796,0.0024235337,0.1196632,0.8779133
220947,0.0023710118,0.59003025,0.40759876
749874,0.0025015713,0.7812064,0.21629198
373699,0.0037616417,0.64424884,0.3519896
719619,0.0025587534,0.47623482,0.52120644
500580,0.03082535,0.90001905,0.069155544
774186,0.0017218901,0.49432293,0.5039552
172396,0.0101370765,0.6041591,0.3857038
646458,0.012762217,0.9113324,0.07590535
918780,0.000509815,0.4968766,0.5026136
979122,0.002733456,0.42587975,0.5713868
595230,0.5957495,0.39390787,0.01034262
22672,0.5893669,0.3910312,0.019601818
660903,1.0981675e-05,0.007325967,0.992663
547649,0.042755675,0.74333376,0.21391053
243167,0.017550636,0.24702553,0.73542386
876278,0.0043294295,0.76942796,0.2262426
804957,0.2682716,0.59557074,0.13615762
704646,0.0002605306,0.036169454,0.96357
238288,0.03155716,0.35972854,0.6087143
736201,0.00447791,0.7845304,0.21099168
956364,0.57567614,0.39350238,0.030821474
148715,0.005792319,0.5595534,0.4346543
336189,0.020831376,0.82426316,0.15490548
106143,0.038719706,0.80325466,0.15802567
851902,0.0348909,0.5809621,0.38414693
880562,0.04481733,0.8158504,0.1393322
891567,0.0029770357,0.63910586,0.35791713
88024,0.05615412,0.6618589,0.28198698
1001606,0.04432391,0.81601655,0.13965948
401459,0.0018923049,0.7257413,0.27236637
357877,0.00087403966,0.4324667,0.5666592
800027,0.019334301,0.80754596,0.17311977
447845,0.00035851507,0.33725542,0.66238606
162354,9.606865e-05,0.024482256,0.97542167
485019,0.07785619,0.66619974,0.25594407
562461,0.014498895,0.71929836,0.26620272
