,xgb1,xgb2,xgb3
0,0.0013247421,0.5693148,0.42936045
1,0.0035178214,0.5550124,0.4414698
2,0.001736389,0.3483848,0.64987886
3,0.0032214927,0.5030214,0.49375707
4,0.014543338,0.6733936,0.31206307
5,0.0006634794,0.19440849,0.804928
6,0.0017957035,0.85860354,0.13960072
7,0.0074130627,0.49611574,0.49647123
8,0.0070887916,0.75273204,0.24017909
9,0.0013507701,0.5884172,0.41023207
10,0.57563263,0.32263967,0.10172773
11,0.43908262,0.44534162,0.115575776
12,0.018109158,0.88563585,0.09625499
13,0.0005158407,0.03300966,0.9664745
14,0.3959309,0.59669816,0.0073709264
15,0.40924475,0.5444096,0.04634565
16,0.0050583496,0.15479878,0.84014285
17,0.0029942007,0.82434934,0.17265642
18,0.0051515815,0.6437012,0.3511472
19,0.0009547683,0.7720227,0.22702253
20,0.007644371,0.5634634,0.42889225
21,0.20124944,0.6696077,0.12914291
22,0.001882566,0.7778015,0.22031592
23,0.00031031788,0.031236365,0.9684533
24,0.02337175,0.71623284,0.2603954
25,0.018560983,0.77278084,0.20865814
26,0.0029791156,0.5101269,0.48689395
27,0.0011743844,0.50198305,0.49684256
28,0.1685794,0.798093,0.033327576
29,0.14525692,0.7266024,0.12814067
30,0.8471829,0.15192056,0.00089649425
31,0.053648457,0.7918078,0.15454373
32,0.0009091931,0.3334187,0.66567206
33,0.06977708,0.8721325,0.05809048
34,0.047799904,0.8134768,0.13872327
35,0.006873548,0.8288655,0.16426091
36,0.022101793,0.8925803,0.08531795
37,0.017770795,0.33717695,0.64505225
38,0.00992614,0.3602067,0.62986714
39,0.4189027,0.5513324,0.02976488
40,0.005623761,0.46166867,0.5327076
41,0.005052672,0.37248936,0.6224579
42,0.043902148,0.8683449,0.087752976
43,0.025921823,0.9398381,0.034240052
44,0.0069330847,0.7799081,0.21315885
45,0.0006284853,0.028081596,0.97129
46,0.0008245656,0.22826317,0.7709123
47,0.0010964484,0.04521679,0.9536868
48,0.53726965,0.41328418,0.049446166
49,0.009824615,0.8079867,0.18218869
50,0.04377944,0.8455476,0.11067292
51,0.041849565,0.35018402,0.6079664
52,0.0048537883,0.55051243,0.44463372
53,0.0011341135,0.82624274,0.17262316
54,0.015894039,0.4111682,0.5729377
55,0.38326114,0.6081894,0.008549487
56,0.034713108,0.7909024,0.17438455
57,0.06575533,0.8942264,0.040018298
58,0.004244508,0.8284817,0.1672738
59,0.010662293,0.9199811,0.0693566
60,0.004703857,0.024185017,0.97111106
61,0.0063010408,0.9575353,0.036163602
62,0.03245239,0.7603339,0.20721371
63,0.014931951,0.32505494,0.6600131
64,0.017388852,0.40117672,0.5814344
65,0.0027950562,0.32204604,0.67515886
66,0.022524778,0.7715873,0.20588788
67,0.028761564,0.51596004,0.4552784
68,0.010500953,0.7273781,0.262121
69,0.0006741854,0.1605264,0.8387994
70,0.001116803,0.77113664,0.22774652
71,0.03940457,0.9226265,0.037968893
72,0.00048052476,0.035346843,0.96417266
73,0.971101,0.02810464,0.0007943613
