damage_grade,Target
2,2.269666829667536
3,2.318549874794494
2,2.027433962688478
2,2.3968061773398084
2,2.2432502922277426
2,2.0190828521415556
2,2.220706716793042
2,2.4082372061263415
3,2.3519561244459672
2,1.6122027570467028
2,2.331465685070642
3,2.2360501703198508
2,2.1116835375172482
2,2.24525507655034
3,1.9623743660692443
2,2.2551478664334392
3,2.518704240488071
3,2.34073783699559
2,2.1561431626685192
3,2.4212415770927853
1,1.4388498522205126
3,2.362896256923273
1,1.61193739131253
2,2.336175740253942
2,2.3001239987145046
2,2.217684301405716
1,1.7206084243785067
2,2.336004414140078
2,2.284640198117467
3,2.375807862448629
2,1.7468007479420091
1,1.5992303015284743
2,2.3547188702294855
2,2.397650644221548
2,2.2305277079312407
2,2.240311870016143
3,2.3794593157255677
2,2.474066487993924
3,2.331513354647571
2,2.284372993047435
3,2.3838084495287184
2,2.26915873636986
2,2.37720453243504
2,2.315322436585189
2,2.3614957870470894
3,2.454713700039695
1,2.2405918554880544
2,2.203152582065196
3,2.4415558910959203
3,2.174128337892798
2,2.002583389672603
2,2.339534296141124
2,2.4144176350250373
3,2.4082372061263415
2,2.3981940441413907
2,2.1830902980828677
2,2.446011006272618
1,2.217684301405716
3,2.3547188702294855
2,2.495767546537893
2,1.6413937200844335
3,2.3223421349149427
2,2.206336437281646
2,2.3802287006415535
2,2.3698153943010976
3,2.34374344420185
2,2.5283920696370163
2,1.7375802354312504
1,2.1997089637550293
2,2.4874284199201386
2,2.340153951279339
2,1.8223288534887487
2,2.3317993198622387
2,2.374750464278961
2,2.1996747057234387
2,2.314983998126326
3,2.2612253934127806
3,2.3522616938071144
1,1.7649391625311663
3,2.349808345328803
2,2.446011006272618
3,2.334678915230189
2,2.2016899358480666
3,2.4926818027883493
3,2.3981725024169354
3,2.338201178129883
3,2.28346115765389
3,2.4372218869709052
3,2.4305031774610217
3,2.325808319002203
3,2.458248960056579
2,2.3621837636575163
3,2.4270565912239572
2,2.243508079859058
2,2.3760937862818214
2,2.2929836683788474
3,2.216195262174006
2,2.3526853663815204
2,2.3874841872631416
2,1.8189473128956832
2,2.27949000660749
3,2.3953847472785412
3,2.489373207939415
2,2.315935799727889
3,2.2709669079558936
2,2.3993574442719616
2,2.173894178303892
3,2.384812165575004
2,2.22060052577672
3,2.3607777919948867
2,1.7946378824086424
2,2.363817814713051
3,2.435500483563874
2,1.5883220596432839
3,2.3667450973479447
2,2.3260249305630873
3,2.6417616983225414
2,2.3088417419760225
2,2.4580621566688308
2,2.441928955928572
2,2.3486793705999682
3,2.21568134316123
1,1.8712184594265255
2,2.417761386735377
2,2.410815409894419
3,2.3629440961184938
2,2.4431947162910874
3,2.2622956066902273
2,2.3473254209472834
3,2.4188606298024378
1,2.3455029547091524
3,2.3547188702294855
2,2.35615470931399
2,2.236564137021914
3,2.340023644368014
2,2.3209910821518283
2,2.3493317463735615
2,2.356663658248762
3,2.4875965169864798
1,1.8776736938190475
2,2.381863661509442
2,2.3349995932962573
2,2.3485027643712315
2,2.2405918554880544
2,2.3615598337253494
2,2.3858400291280746
3,2.2832116186740405
1,1.7187764500395715
3,2.521741287292551
2,2.3293041293710917
2,2.3793106952584098
2,2.3395110440285163
2,2.3613686303614787
2,2.3279174517261287
3,2.3337280724001026
2,2.359689523869604
2,2.360588397373622
2,2.3393539473497063
3,2.27764001143118
3,2.4851242633485757
2,2.327714290005064
1,1.791893480965274
2,2.352193923795624
2,2.342588763394228
2,2.263348261523436
3,2.390943985283845
2,2.279061388083468
2,1.7047385994871276
2,2.321775037074824
1,1.613164184279604
2,2.497623877978657
2,2.3438719834101813
2,2.415921548644021
2,2.1592107250869885
3,1.9112173357226305
2,2.2525389174277253
1,2.304051745508207
3,2.3217551611862044
2,2.339768831659832
2,2.3858400291280746
2,2.259950302411812
2,2.216551456632423
2,2.2016401649204633
3,2.429890419707719
2,2.387591076194296
2,1.8134216627729802
2,2.398477113140969
3,2.47291204627151
3,2.352846114465056
3,2.460303405276359
1,1.5022136218945938
3,2.3455029547091524
1,1.4720141594501968
3,2.2539799893107486
1,2.0055646732822643
2,2.3176852307307056
3,2.4774283968792776
3,2.313349988212787
3,2.2723190434474185
3,2.245123033921118
2,2.3407696847142203
2,2.2656333251566423
3,2.322932213963016
2,2.2443721875968037
2,2.316626742058786
2,2.522990406498941
1,2.2671842812903167
2,2.2722107621730436
2,2.3473254209472834
3,2.2251789504239623
3,2.3625793351080473
3,2.2422336317480784
2,2.053486831338016
2,2.466608831065379
2,2.3415198787260527
2,1.7643313173427753
3,2.2656297331475335
3,2.203824118488608
2,2.3546400115777697
3,2.3362575422951246
2,2.4126170685295816
1,2.3250486232128194
3,2.3296594234249834
2,2.314976924149802
3,2.490547620147808
2,2.3607777919948867
2,2.091304664837895
2,2.449910439488144
2,2.373533231197272
2,2.2158975782481267
