damage_grade,Target
2,2.298183426918966
3,2.311780327688441
2,2.061245545935683
2,2.3809934772630266
2,2.2415577127671633
2,1.9999049482068492
2,2.216587094842911
2,2.3919318839620876
3,2.344792746168913
2,1.625386053730408
2,2.3352692883373103
3,2.2815583719269523
2,2.105110741752131
2,2.245042174963263
3,1.977802106323479
2,2.264070359349502
3,2.4920714359753884
3,2.3297068837034565
2,2.0979765150205476
3,2.391808804944696
1,1.4590151750270575
3,2.3572315525118
1,1.610497908057091
2,2.3464704192696857
2,2.3254043543030973
2,2.2087398749485105
1,1.6804083975726836
2,2.326269577405428
2,2.3171342941328397
3,2.372981306570506
2,1.721347602439316
1,1.612697726356565
2,2.348957294735972
2,2.4008861153392207
2,2.2175478154343184
2,2.2452686124838452
3,2.3796795291307307
2,2.433655751714633
3,2.343241953346656
2,2.2852399445683047
3,2.375650044614742
2,2.2414270082785865
2,2.3736001405034384
2,2.315447701619895
2,2.3620936325467388
3,2.4388248641261816
1,2.2409043225938987
2,2.206214045073429
3,2.413858573049316
3,2.173186875693543
2,2.041864769223738
2,2.3246182286167727
2,2.4043390736268653
3,2.3919318839620876
2,2.3738907995342737
2,2.185928108805878
2,2.429659333442927
1,2.2087398749485105
3,2.348957294735972
2,2.4802241095009876
2,1.6036358182823773
3,2.3114212709567483
2,2.1886815114085647
2,2.3569758450049094
2,2.3523595106432365
3,2.3497697738113534
2,2.4721814564003823
2,1.7283781696893001
1,2.219883425791142
2,2.4682994511363603
2,2.343539585017498
2,1.8168484649715653
2,2.331954845240581
2,2.3595050115785905
2,2.2126438066674927
2,2.323262914975427
3,2.2621459122844123
3,2.3295577176729045
1,1.725481948492266
3,2.333718392400921
2,2.429659333442927
3,2.3177177965996996
2,2.20632389383896
3,2.4693473736865363
3,2.3863706069351363
3,2.334443111675204
3,2.2663981458638545
3,2.423075990864909
3,2.4062403373277608
3,2.3263288265463262
3,2.445743765198066
2,2.3601194083050623
3,2.419789625674291
2,2.2366326354088324
2,2.3796849428681166
2,2.300081252529457
3,2.2090028272456355
2,2.3518395285449514
2,2.3923365197199065
2,1.8463523962964037
2,2.2241926928192832
3,2.3794010495374924
3,2.4682994511363603
2,2.337192633597581
3,2.254719220847001
2,2.4008861153392207
2,2.1751698129644894
3,2.3777071120724083
2,2.2010131373936854
3,2.360946381839729
2,1.7669118108761988
2,2.3344411236255422
3,2.4305228186621415
2,1.5409877280036284
3,2.3496548383879423
2,2.3135148942747095
3,2.5616633250149743
2,2.3950763201421754
2,2.4388248641261816
2,2.4035109030053845
2,2.341232630912686
